date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,rr_1,ad
1997.25,10.64846788,5,1.380833333,0.002023336,9.335423982,10.06864939,17.70398838,4.676401883,4.233193044,4.229093963,,-0.02473684
1997.5,10.65758871,4.866666667,1.383333333,0.004329651,9.351952254,10.07955434,17.70650536,4.674649606,4.241341141,4.245239949,,-0.064942108
1997.75,10.66300751,4.666666667,1.376666667,0.003281788,9.361054296,10.08675408,17.70699806,4.685366728,4.246249866,4.242800486,,-0.006891419
1998,10.67039622,4.633333333,1.38,0.00146996,9.383041803,10.09414279,17.7063697,4.695632269,4.255215468,4.25369598,,-0.002099496
1998.25,10.67687742,4.4,1.375,0.00234745,9.385893239,10.10417639,17.70523421,4.702042781,4.260734324,4.270396506,,-0.013841271
1998.5,10.68620118,4.533333333,1.383333333,0.00429382,9.402463404,10.11172553,17.70474281,4.701725045,4.273954112,4.284758289,,-0.026228952
1998.75,10.69921388,4.433333333,1.215,0.002742105,9.433365676,10.11939539,17.71371472,4.700398544,4.2816813,4.279543919,,-0.029125249
1999,10.70609434,4.3,1.183333333,0.003196241,9.447313295,10.12805996,17.71054701,4.703494002,4.295337933,4.302272948,,-0.021148358
1999.25,10.71165841,4.266666667,1.186666667,0.003777389,9.452877369,10.13895738,17.71004971,4.701034758,4.298821641,4.298509147,,0.025704264
1999.5,10.7216361,4.233333333,1.273333333,0.003553753,9.46637,10.14893507,17.71017461,4.697484975,4.308272446,4.302340634,,0.060314263
1999.75,10.73491732,4.066666667,1.326666667,0.005508865,9.483153853,10.16398777,17.71315832,4.69794078,4.322648111,4.319752215,,0.002328647
2000,10.73602704,4.033333333,1.419166667,0.006617385,9.487753979,10.1721522,17.72505555,4.72995973,4.319219946,4.318620805,,0.051568357
2000.25,10.75158509,3.933333333,1.568333333,0.006214083,9.517153081,10.18418912,17.72268989,4.708899372,4.338074747,4.332442405,,0.067220132
2000.5,10.74987071,4,1.63,0.005843548,9.50507591,10.19300115,17.71809187,4.722810989,4.337774284,4.336048139,,-0.011253609
2000.75,10.75314691,3.9,1.618333333,0.005415716,9.50138344,10.19976167,17.71826819,4.714840402,4.347538704,4.352050558,,0.027413579
2001,10.74761611,4.233333333,1.398333333,0.006536137,9.463878337,10.20116331,17.71257687,4.736926254,4.342414845,4.35256564,,-0.105030586
2001.25,10.75145662,4.4,1.081666667,0.006029461,9.453173132,10.20327521,17.69992775,4.71978376,4.35958929,4.364498918,,-0.065626659
2001.5,10.7448392,4.833333333,0.874166667,0.00392037,9.43920274,10.20011202,17.69263908,4.714266714,4.365427122,4.367261921,,0.002409084
2001.75,10.74505474,5.5,0.533333333,0.003107821,9.424548118,10.20032756,17.6824615,4.70902557,4.377780131,4.378395048,,-0.024889293
2002,10.75113535,5.7,0.433333333,0.003222418,9.434367053,10.20468255,17.68178574,4.693080326,4.398195216,4.392966575,,0.020117966
2002.25,10.75504774,5.833333333,0.4375,0.003459675,9.438279446,10.21376291,17.68525499,4.69573275,4.400075274,4.391915082,,-0.007838798
2002.5,10.75654025,5.733333333,0.435,0.004803813,9.43603363,10.21525542,17.68698209,4.690733014,4.407414128,4.399313846,,0.031350592
2002.75,10.75541042,5.866666667,0.360833333,0.00572448,9.427384962,10.22097493,17.67796746,4.690494307,4.406463117,4.398607165,,-0.055073832
2003,10.75847718,5.866666667,0.3125,0.004973037,9.419066409,10.23084444,17.67873749,4.682445992,4.416114002,4.398422731,,0.043678772
2003.25,10.76515313,6.133333333,0.311666667,0.003443391,9.429551883,10.23582403,17.67903655,4.684591162,4.429196439,4.412677074,,-0.03186455
2003.5,10.77920626,6.133333333,0.254166667,0.005668483,9.458699638,10.24477077,17.67422658,4.674481673,4.450887831,4.426641427,,-0.00013682
2003.75,10.78828762,5.833333333,0.249166667,0.006140824,9.478954297,10.24871952,17.6790106,4.675768435,4.460294692,4.42013495,,-0.073422626
2004,10.79205759,5.7,0.250833333,0.007045442,9.482724272,10.2576221,17.67952082,4.667459304,4.457736894,4.419262206,,-0.068002243
2004.25,10.79763492,5.6,0.2525,0.008001752,9.506650738,10.26149149,17.67767172,4.671191982,4.46789465,4.430638211,,-0.043730149
2004.5,10.8045225,5.433333333,0.358333333,0.006400267,9.517168091,10.26837907,17.67837592,4.678309117,4.472038713,4.440030177,,0.077637245
2004.75,10.81220971,5.433333333,0.4875,0.007701259,9.535666218,10.27777423,17.68044823,4.668407861,4.47698448,4.446731158,,0.085231274
2005,10.82113736,5.3,0.6175,0.007931619,9.555289152,10.28156927,17.67980821,4.655321328,4.488456578,4.450181655,,0.048392274
2005.25,10.82384998,5.1,0.735833333,0.00724929,9.550884308,10.28941449,17.68701351,4.655083529,4.486454215,4.452426849,,0.044939588
2005.5,10.82913438,4.966666667,0.865,0.009053767,9.55973377,10.29640392,17.68868919,4.65143335,4.492516473,4.452718063,,0.042905989
2005.75,10.83227981,4.966666667,0.995,0.008058573,9.569971432,10.30295072,17.69034031,4.648229675,4.493456196,4.448487136,,0.035104488
2006,10.84349481,4.733333333,1.114166667,0.007019388,9.58471377,10.30564051,17.69605992,4.654255545,4.50095346,4.455944857,,0.039106251
2006.25,10.8436901,4.633333333,1.226666667,0.008827739,9.574289495,10.31095965,17.69796132,4.647999764,4.49920949,4.443973911,,0.085371971
2006.5,10.84261552,4.633333333,1.311666667,0.006953546,9.566072021,10.31498278,17.70005245,4.647817713,4.49688317,4.435715495,,-0.015109163
2006.75,10.84846292,4.433333333,1.311666667,0.003733587,9.553835746,10.31743459,17.70610864,4.656366976,4.503691017,4.438406968,,-0.018986641
